Data recieved from Arduino

Measurement number: 1
	Value1
0	702
33	701
66	701
99	700
131	703
164	703
197	701
230	702
262	701
295	700
328	703
361	702
393	701
426	701
459	701
492	702
525	703
557	701
590	702
623	702
656	701
688	701
721	701
754	701
787	702
819	701
852	703
885	701
918	701
951	702
983	702
1016	702
1049	701
1082	701
1114	701
1147	702
1180	702
1213	702
1245	702
1278	701
1311	701
1344	700
1376	700
1409	702
1442	702
1475	700
1508	701
1540	701
1573	701
1606	701
1639	703
1671	701
1704	701
1737	702
1770	709
1802	762
1835	801
1868	807
1901	809
1934	809
1966	808
1999	808
2032	808
2065	808
2097	808
2130	809
2163	808
2196	811
2228	810
2261	809
2294	808
2327	808
2360	808
2392	808
2425	809
2458	808
2491	809
2523	808
2556	810
2589	808
2622	808
2654	809
2687	807
2720	802
2753	759
2786	742
2818	738
2851	738
2884	706
2917	703
2949	699
2982	695
3015	692
3048	692
3080	690
3113	692
3146	691
3179	692
3212	693
3244	692
3277	692
3310	693
3343	692
3375	692
3408	692
3441	692
3474	691
3506	691
3539	691
3572	691
3605	693
3637	695
3670	747
3703	814
3736	843
3769	844
3801	846
3834	845
3867	847
3900	844
3932	846
3965	844
3998	846
4031	845
4063	845
4096	845
4129	846
4162	845
4195	844
4227	820
4260	712
4293	678
4326	676
4358	676
4391	675
4424	675
4457	675
4489	675
4522	677
4555	675
4588	676
4621	675
4653	676
4686	676
4719	676
4752	676
4784	677
4817	676
4850	676
4883	676
4915	675
4948	675
4981	677
5014	675
5047	676
5079	674
5112	666
5145	636
5178	591
5210	528
5243	500
5276	494
5309	493
5341	493
5374	495
5407	493
5440	495
5472	494
5505	493
5538	494
5571	493
5604	493
5636	494
5669	493
5702	493
5735	478
5767	419
5800	368
5833	342
5866	336
5898	334
5931	333
5964	333
5997	333
6030	334
6062	333
6095	332
6128	332
6161	223
6193	97
6226	0
6259	0
6292	0
6324	0
6357	0
6390	0
6423	0
6456	0
6488	0
6521	0
6554	0
6587	0
6619	0
6652	0
6685	0
6718	0
6750	0
6783	0
6816	0
6849	0
6882	0
6914	0
6947	0
6980	0
7013	0
7045	0
7078	0
7111	0
7144	0
7176	0
7209	0
7242	61
7275	121
7308	166
7340	203
7373	213
7406	213
7439	215
7471	213
7504	214
7537	223
7570	340
7602	465
7635	581
7668	647
7701	688
7733	694
7766	695
7799	695
7832	694
7865	694
7897	694
7930	694
7963	694
7996	694
8028	696
8061	859
8094	929
8127	963
8159	963
8192	963
8225	963
8258	963
8291	963
8323	961
8356	967
8389	964
8422	966
8454	964
8487	963
8520	963
8553	965
8585	965
8618	963
8651	964
8684	963
8717	1023
8749	1023
8782	1022
8815	1023
8848	1023
8880	1023
8913	1023
8946	1023
8979	1023
9011	1023
9044	1023
9077	1023
9110	1023
9143	1023
9175	1023
9208	1023
9241	1023
9274	1023
9306	1023
9339	1023
9372	1023
9405	1023
9437	1023
9470	1023
9503	1023
9536	1023
9568	1022
9601	1023
9634	1023
9667	1023
9700	1023
9732	1023
9765	1023
9798	1022
9831	1023
9863	1023
9896	1023
9929	1023
9962	1023
9994	1023
10027	1023
10060	1023
10093	1023
10126	1023
10158	1023
10191	1023
10224	1023
10257	1023
10289	960
10322	788
10355	722
10388	722
10420	722
10453	721
10486	721
10519	721
10552	721
10584	723
10617	722
10650	722
10683	722
10715	722
